77,5
78,5
79,5
99,5
100,5
101,5
102,5
103,5
104,5
77,6
78,6
79,6
99,6
100,6
101,6
102,6
103,6
104,6
106,6
107,6
108,6
77,7
78,7
79,7
98,7
99,7
100,7
101,7
102,7
106,7
107,7
108,7
77,8
78,8
79,8
98,8
99,8
100,8
106,8
107,8
108,8
77,9
78,9
79,9
98,9
99,9
100,9
106,9
107,9
108,9
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,10
10,10
11,10
13,10
14,10
15,10
16,10
17,10
18,10
19,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
38,10
39,10
40,10
41,10
48,10
49,10
50,10
51,10
56,10
57,10
58,10
59,10
60,10
61,10
62,10
63,10
77,10
78,10
79,10
85,10
86,10
87,10
88,10
89,10
90,10
91,10
92,10
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,10
110,10
111,10
112,10
2,11
3,11
4,11
5,11
6,11
7,11
8,11
9,11
10,11
11,11
12,11
13,11
14,11
15,11
16,11
17,11
18,11
19,11
20,11
25,11
26,11
27,11
28,11
29,11
30,11
31,11
32,11
33,11
34,11
39,11
40,11
41,11
48,11
49,11
50,11
51,11
54,11
55,11
56,11
57,11
58,11
59,11
60,11
61,11
62,11
63,11
64,11
77,11
78,11
79,11
83,11
84,11
85,11
86,11
87,11
88,11
89,11
90,11
91,11
92,11
93,11
96,11
97,11
98,11
99,11
100,11
101,11
102,11
103,11
104,11
105,11
106,11
107,11
108,11
109,11
110,11
111,11
112,11
2,12
3,12
4,12
5,12
6,12
7,12
8,12
9,12
10,12
11,12
12,12
13,12
14,12
15,12
16,12
17,12
18,12
19,12
20,12
21,12
25,12
26,12
27,12
28,12
29,12
30,12
31,12
32,12
33,12
34,12
35,12
39,12
40,12
41,12
42,12
48,12
49,12
50,12
54,12
55,12
56,12
57,12
58,12
59,12
60,12
61,12
62,12
63,12
64,12
77,12
78,12
79,12
83,12
84,12
85,12
86,12
87,12
88,12
89,12
90,12
91,12
92,12
93,12
98,12
99,12
100,12
106,12
107,12
108,12
2,13
3,13
4,13
5,13
10,13
11,13
12,13
13,13
18,13
19,13
20,13
21,13
24,13
25,13
26,13
27,13
32,13
33,13
34,13
35,13
39,13
40,13
41,13
42,13
47,13
48,13
49,13
50,13
53,13
54,13
55,13
56,13
62,13
63,13
64,13
65,13
77,13
78,13
79,13
82,13
83,13
84,13
85,13
91,13
92,13
93,13
94,13
98,13
99,13
100,13
106,13
107,13
108,13
2,14
3,14
4,14
10,14
11,14
12,14
13,14
19,14
20,14
21,14
24,14
25,14
26,14
27,14
33,14
34,14
35,14
36,14
40,14
41,14
42,14
47,14
48,14
49,14
53,14
54,14
55,14
63,14
64,14
65,14
77,14
78,14
79,14
82,14
83,14
84,14
92,14
93,14
94,14
98,14
99,14
100,14
106,14
107,14
108,14
2,15
3,15
4,15
10,15
11,15
12,15
19,15
20,15
21,15
24,15
25,15
26,15
33,15
34,15
35,15
36,15
40,15
41,15
42,15
43,15
47,15
48,15
49,15
53,15
54,15
55,15
56,15
57,15
58,15
59,15
60,15
61,15
62,15
63,15
64,15
65,15
77,15
78,15
79,15
82,15
83,15
84,15
85,15
86,15
87,15
88,15
89,15
90,15
91,15
92,15
93,15
94,15
98,15
99,15
100,15
106,15
107,15
108,15
2,16
3,16
4,16
10,16
11,16
12,16
19,16
20,16
21,16
24,16
25,16
26,16
34,16
35,16
36,16
41,16
42,16
43,16
46,16
47,16
48,16
49,16
53,16
54,16
55,16
56,16
57,16
58,16
59,16
60,16
61,16
62,16
63,16
64,16
65,16
77,16
78,16
79,16
82,16
83,16
84,16
85,16
86,16
87,16
88,16
89,16
90,16
91,16
92,16
93,16
94,16
98,16
99,16
100,16
106,16
107,16
108,16
2,17
3,17
4,17
10,17
11,17
12,17
19,17
20,17
21,17
24,17
25,17
26,17
33,17
34,17
35,17
36,17
41,17
42,17
43,17
46,17
